text,topics
"Title: FANTASTIC-5G - Flexible Air iNTerfAce for Scalable service delivery  wiThin wIreless Communication networks of the 5th Generation Abstract: 5G will have to cope with a high degree of heterogeneity in terms of: (a) services (mobile broadband, massive machine and mission critical communications, broad-/multicast services and vehicular communications); (b) device classes (low-end sensors to high-end tablets); (c) deployment types (macro and small cells); (d) environments (low-density to ultra-dense urban); (e) mobility levels (static to high-speed transport).
Consequently, diverse and often contradicting Key Performance Indicators need to be supported, such as high capacity/user-rates, low latency, high reliability, ubiquitous coverage, high mobility, massive number of devices, low cost/energy consumption. 4G is not designed to meet such a high degree of heterogeneity efficiently. Moreover, having multiple radio access technologies for multi-service support below 6GHz will be too costly.
FANTASTIC-5G will develop a new multi-service Air Interface (AI) for below 6 GHz through a modular design. To allow the system to adapt to the anticipated heterogeneity, the pursued properties are: flexibility, scalability, versatility, efficiency, future-proofness. To this end, we will develop the technical AI components (e.g. flexible waveform and frame design, scalable multiple access procedures, adaptive retransmission schemes, enhanced multi-antenna schemes with/without cooperation, advanced multi-user detection, interference coordination, support for ultra-dense cell layouts, multi-cell radio resource management, device-to-device) and integrate them into an overall AI framework where adaptation to the above described sources of heterogeneity will be accomplished. Our work will also comprise intense validation and system level simulations.
FANTASTIC-5G includes partners being active in forerunning projects like METIS, 5GNOW and EMPATHIC ensuring the exploitation of the respective outcomes. The consortium possesses the main stakeholders for innovation and impacting standardization, maintaining Europe at the forefront.","[""5G"", ""4G"", ""radio technology""]"
"Title: 5GENESIS - 5th Generation End-to-end Network, Experimentation, System Integration, and Showcasing Abstract: In the global race towards 5G, the establishment and implementation of the 5G-PPP programme in the EU has significantly strengthened the position of Europe, promoting both technological excellence and industrial leadership. So far, 5G-PPP Phase 1 and Phase 2 projects have been proven quite successful in developing focused solutions, targeting specific technical innovations. Now, the crucial next step in the “Genesis of 5G”, in Europe but also worldwide, is to integrate all these highly diverse results and technologies in order to “glue together” the 5G picture and unveil the potential of a truly full-stack, end-to-end 5G platform, able to meet the defined KPI targets.  In this context, the main goal of 5GENESIS to validate 5G KPIs for various 5G use cases, in both controlled set-ups and large-scale events. This will be achieved by bringing together results from a considerable number of EU projects as well as the partners’ internal R&D activities in order to realise an integrated End-to-end 5G Facility, built on five diverse in terms of capabilities –yet fully interoperable- experimentation platforms distributed across Europe and interconnected with each other. The platforms will emerge as the evolution of existing testbeds, already owned and operated by the 5GENESIS partners, suitable for large-scale field experimentation. The 5GENESIS Facility, as a whole, will: - implement and verify all evolutions of the 5G standard, via an iterative integration and testing procedure; - engage a wide diversity of technologies and chain innovations that span over all domains, achieving full-stack coverage of the 5G landscape; - unify heterogeneous physical and virtual network elements under a common coordination and openness framework exposed to experimenters from the vertical industries and enabling end-to-end slicing and experiment automation; and - support further experimentation projects, in particular those focused on vertical markets.","[""5G""]"
"Title: ELVER - Engineering with Logic and Verification: Mathematically Rigorous Engineering for Safe and Secure Computer Systems Abstract: Computer systems have become critical to modern society, but they are pervasively subject to security flaws and malicious attacks, with large-scale exposures of confidential data, denial-of-service and ransom attacks, and the threat of nation-state attackers: they are trusted, but are far from trustworthy. This is especially important for the major pan-industry components of our information infrastructure: processors, programming languages, operating systems, etc.

The basic problem is that conventional engineering techniques suffice only to make systems that *usually* work. The usual test-and-debug development methods, with poorly specified abstractions described in prose, lack the mathematical rigour of other engineering disciplines - yet the huge investment in legacy systems and skills makes it hard to improve.

ELVER will develop *mathematically rigorous* methods for specifying, testing, and reasoning about *real systems*, focussed on the core mechanisms used by hardware and software to enforce security boundaries.  It will establish mathematical models for the industry ARM architecture, used pervasively in mobile phones and embedded devices, and the CHERI research architecture, which protects against many attacks. Using these, ELVER will build tools for analysis of system software, develop techniques for mathematical proof of safety and security properties, and explore improved systems programming languages.  ELVER will build on successful collaborations with ARM, IBM, and the C/C++ ISO standards committees.  It will directly impact mainstream processor architectures, languages, and development methods, smoothly complementing existing methods while simultaneously enabling longer-term research towards the gold standard of provably secure systems.

ELVER will thus demonstrate the feasibility and benefits of a more rigorous approach to system engineering, putting future systems on more solid foundations, and hence making them safer and more secure","[""mobile phones""]"
"Title: WASPSNEST - Wavelength tunable Advanced Single Photon Sources Non-laboratory Environment Specification and Testing Abstract: Triggered single photon sources are key enabling tools in the new technology of quantum communications and a host of quantum optics research, but have not found widespread use because robust and portable devices have yet to be commercialised. The FP7 WASPS project is completing laboratory-based demonstrator experiments for a new range of plug-in single photon sources that can ultimately be operated at ambient temperatures and in non-laboratory environments. The devices, based on nitrogen-vacancy colour centres in diamond coupled to optical microcavities, offer a degree of wavelength tunability and a flexible design in which the active component can be replaced and upgraded. Work towards construction of a field-testable prototype device has started. In this Innovation Launchpad project, we propose to carry out critical steps in the development and field testing of this prototype that will provide key performance information to companies looking to manufacture and market the technology. These will involve innovative refinement of the active module containing the cavity and single photon emitter, development of module assembly protocols compatible with manufacturing, and testing of the prototype in a free-space quantum key distribution system. The project will bring robust triggered single photon sources closer to market and will promote innovation and entrepreneurship within the H2020 FET programme.","[""telecommunications""]"
"Title: 5G-Crosshaul - 5G-Crosshaul: The 5G Integrated fronthaul/backhaul Abstract: Mobile data traffic is forecasted to increase 11-fold between 2013 and 2018. 5G networks serving this mobile data tsunami will require fronthaul and backhaul solutions between the RAN and the packet core capable of dealing with this increased traffic load while fulfilling new stringent 5G service requirements in a cost-efficient manner.
The 5G-Crosshaul project aims at developing a 5G integrated backhaul and fronthaul transport network enabling a flexible and software-defined reconfiguration of all networking elements in a multi-tenant and service-oriented unified management environment. The 5G-Crosshaul transport network envisioned will consist of high-capacity switches and heterogeneous transmission links (e.g., fibre or wireless optics, high-capacity copper, mmWave) interconnecting Remote Radio Heads, 5GPoAs (e.g., macro and small cells), cloud-processing units (mini data centres), and points-of-presence of the core networks of one or multiple service providers.  This transport network will flexibly interconnect distributed 5G radio access and core network functions, hosted on in-network cloud nodes, through the implementation of: (i) a control infrastructure using a unified, abstract network model for control plane integration (5G-Crosshaul Control Infrastructure, XCI); (ii) a unified data plane encompassing innovative high-capacity transmission technologies and novel deterministic-latency switch architectures (5G-Crosshaul Packet Forwarding Element, XFE).  
Demonstration and validation of the 5G-Crosshaul technology components developed will be integrated into a software-defined flexible and reconfigurable 5G Test-bed in Berlin. Mobility-related 5G-Crosshaul experiments will be performed using Taiwan’s high-speed trains. 5G-Crosshaul KPI targets evaluated will include among others a 20% network capacity increase, latencies <1 ms and 30% TCO reduction.
The 5G-Crosshaul proposal addresses the ICT 14-2014 call of the Horizon 2020 Work Programme 2014-15 with a special focus on the P7 objectives defined by the 5GPPP IA","[""5G"", ""radio technology""]"
"Title: 5G-ERA - 5G ENHANCED ROBOT AUTONOMY Abstract: 5G-ERA is oriented towards a user-centric paradigm of integrating vertical knowledge into the existing standardised 5G testing framework to improve Quality of Experience (QoE). The project addresses the new challenges on experimental facilities for the vertical developers and designers through the following activities: 1) integrating operational processes of essential autonomous robotic capabilities into Open Source MANO (OSM), ensuring the vertical specific adaptation of existing experimentation facilities, 2) realising an intent-based networking paradigm by aligning the end-to-end (E2E) resource optimisation with the autonomous operations, ensuring effective policy to be designed 3) Cloud native Network Services (NSs) on the experimental facilities will create, ensuring robotic applications exploiting NFV/SDN infrastructures efficiently, 4) extending the experimentation facilities into robotic domains thorough standard APIs under Robot Operating System (ROS), prompting third-parties’ experimentation activities as well as engagement from new players.

Robot autonomy is essential for many 5G vertical sectors and can provide multiple benefits in automated mobility, Industry 4.0 and healthcare. 5G technology, on the other hand, has the great potential to enhance the robot autonomy. Use cases from four vertical sectors, namely public protection and disaster relief (PPDR), transport, healthcare and manufacturing will be validated in the project by rapid prototyping of NetApp solutions and enhanced vertical experiences on autonomy. These case studies can be regarded as showcases of the potential of 5G and 5G-ERA to the acceleration of the ongoing convergence of robotics, AI & cloud computing; and to unlock a next level of autonomy through 5G based learning in general.","[""5G""]"
"Title: 5GCITY - 5GCITY Abstract: Delivering on the 5G promise of increased data rates, and ubiquitous coverages, poses stringent requirements on traditional vertically integrated operators. In particular, telecom operators are expected to massively  roll out Small Cells, which requires finding appropriate urban spaces with both backhaul and energy availability. Network sharing becomes essential to unlock those commercial massive deployments. The open access model, or neutral host, will come to play a key role on the deployment of 5G networks, especially in urban scenarios where very dense Small Cell deploymens are required. 
In parallel recent trends are paving the way towards the development of new, heterogeneous and distributed cloud paradigms that significantly differ from today’s established cloud model: with edge computing, cloud architectures are pushed all the way to the edge of the network, close to the devices that produce and act on data. We posit that there are two sets of players perfectly poised to take advantage of both trends since they already own the infrastructure needed to build edge deployments: telecommunication providers and municipalities. 5GCity focuses on how common smart city infrastructure (i.e.,small cells and processing power at the very edge of networks) can bring benefit to both players based on resource sharing and end-to-end virtualization, pushing the cloud model to the extreme edge. 
5GCity will design, develop, deploy and demonstrate a distributed cloud and radio platform for municipalities and infrastructure owners acting as 5G neutral hosts. 5GCity’s main aim is to build and deploy a common, multi-tenant, open platform that extends the (centralized) cloud model to the extreme edge of the network, with a demonstration in three different cities (Barcelona, Bristol and Lucca). 5GCity will directly impact a large and varied range of actors: (i) telecom providers; (ii) municipalities; and (iii) a number of different vertical sectors utilizing the city infrastructure","[""5G""]"
"Title: HRadio - Hybrid Radio everywhere for everyone Abstract: HRADIO (Hybrid Radio everywhere for everyone) focuses on radio service innovations enabled by convergence. While radio, with its rich editorial content, remains a highly popular medium, listening figures are slowly declining, particularly among youngsters. With the rapid rise of smartphones, radio faces competition from many new services including music steaming platforms. Regular radio today often does not include attractive features as known from vertical platforms. And if present, they are mostly not well integrated with the actual radio programme. This is where HRADIO will deliver.
Driven by the industry need to create attractive new radio experiences, the project will leverage the full potential of hybrid technology for radio – enabling the integration of cost-effective broadcast distribution with new online features. Broadcasters will be enabled to personalise radio services (while respecting privacy), to provide intuitive functionalities like time-shifting and, eventually, to foster and to exploit user engagement. HRADIO will pave the way to bring these features not only to broadcasters’ native mobile applications, but also to portals, to connected radios and into the car. The core approach is to integrate validated solutions and to harmonise APIs which together will provide broadcasters with an abstracted service layer accessible across any device and distribution platform – ensuring sustainability and return of investment. Therefore, consumers will be able to access their personal radio services on different devices and platforms enabled by a seamless broadcast-internet integration for radio content distribution. All features will be tested in 3 phases of large-scale pilots involving broadcasters, app developers for mobile and automotive devices. 
Eventually, HRADIO will publish its developments as ready-to-use Android and HTML client implementations including an extensive set of well documented APIs fostering new service developments for the radio sector.","[""radio and television"", ""mobile phones""]"
"Title: OCTAVE - Objective Control for TAlker VErification Abstract: Industry needs alternatives to textual passwords for access control. While tokens can still be stolen or transferred to other persons, biometrics technology can provide reliable, cost-effective and user-friendly solutions.
The proliferation of smart services calls for unsupervised authentication at a distance. Being natural, non-intrusive and readily compatible with smart and mobile devices, automatic speaker verification (ASV) is an appealing solution. Even so, today’s state-of-the-art ASV systems lack robustness to environmental variability and are vulnerable to spoofing. Concerns regarding interoperability, scalability and privacy also form barriers to exploitation.
While embracing standards, in addition to a privacy and interoperability-by-design ethos, OCTAVE will integrate commercial-grade and new, hybrid ASV systems with the latest environmental robustness and anti-spoofing technologies to deliver a scalable, trusted biometric authentication service (TBAS). While simultaneously relieving end-users from the inconvenience of dealing with textual passwords, the OCTAVE platform will reduce the economic and practical burdens related to password loss and recovery. The TBAS will support single (text-dependent, text-prompted and text-independent) in addition to hybrid operating modes. The delegation of authentication to a single, yet distributed TBAS, will increase trust and privacy, avoid single points of failure and allow for rapid breach notification and remediation.
Solutions will be installed in data-sensitive and mission-critical services and validated in two real commercial trials: banking services and physical access within a critical airport infrastructure. Flexibility will support wider exploitation in future applications in, for example, customer care, telephone banking, e-commerce, logical and physical access control. OCTAVE will thus fuel new opportunities for commercial services making use of electronic identification and authentication.","[""mobile phones""]"
"Title: SaT5G - Satellite and Terrestrial Network for 5G Abstract: The introduction and global roll out of eMBB service within 5G raises coverage and network dimensioning issues in underserved and unserved areas, especially in low ARPU regions of emerging markets, and on mobile platforms (e.g. vessels and aircraft). Satcom systems are the only economic solution to address these scenarios provided that they are seamlessly integrated into the future 5G architecture and optimum efficiency is achieved via technological synergies between 5G mobile and satcom systems.

SaT5G will bring satcom into 5G by defining optimal satellite-based backhaul and traffic offloading solutions. It will research, develop and validate key 5G technologies in order to take the best value of satcom capabilities (e.g. multicast for content and VNF delivery, ubiquity and resiliency) and mitigate its inherent constraints (e.g. latency). It will identify novel business models and economically viable operational collaborations that integrate the satellite and terrestrial stakeholders in a win-win situation. SaT5G will validate, through specific research pillars, the required technology bricks that will enable the targeted markets to be addressed.

The project gathers key stakeholders from the global satcom industry partnering with MNOs, SMEs and research centres with the expertise from cellular network operation, architecture design, transmission, virtualisation, network management, business modelling, security, content multicast & caching. The SaT5G External Advisory Board involves MNOs, satellite and vertical stakeholders.

SaT5G will capitalise on and drive the standardisation effort initiated in 3GPP and ETSI since Q3 2015 by several consortium partners and Advisory Board members. A key feature of SaT5G is demonstrations of satellite integration in 5G network testbeds to validate the technology developed and scenarios. The project aims to be the main vector for defining the integration of satellite solutions for 5G in 3GPP.","[""5G""]"
"Title: SmokeBot - Mobile Robots with Novel Environmental Sensors for Inspection of Disaster Sites with Low Visibility Abstract: SmokeBot is driven by the application needs for robots that operate in domains with restricted visibility. The focus is on civil robots supporting fire brigades in search and rescue missions, e.g. in post-disaster management operations in response to tunnel fires. Existing sensor technology and the related cognitive approaches cannot cope with such demanding conditions. SmokeBot addresses this shortcoming and can thus bring about a step change for robotics. It will deliver software and hardware components which facilitate robot systems to perform under harsh conditions of smoke, dust or fog. This will be demonstrated through integration of the project results in an industrial prototype of a Low Visibility Explorer Robot for providing situational awareness based on a commercial platform from partner TAUR. In close collaboration with TAUR (robotics industry) and end users (FDDO, end users in the advisory group), SmokeBot will crucially improve the abilities of the selected platform, thus increasing safety of rescue staff and European citizens as well as improving the product of a European robotics company in an important market. An even wider impact is expected through the development of a novel sensor unit and the corresponding cognitive approaches. In addition to traditional sensors such as LIDAR and cameras, which are affected by smoke or dust, this sensing unit includes also a novel 3D radar camera, a thermal camera, and high-bandwidth gas sensors. Fusion of sensor modalities will allow the inclusion of measurements from LIDAR and camera into the world model when they occasionally penetrate through e.g. smoke. In addition, we will develop the means to integrate prior knowledge in the form of crude human sketch maps to allow for robust mapping and navigation even under low visibility in a harsh environment. Sensor technology from SmokeBot will result in new products to be brought to market after the project. Software developed will be made available as open source.","[""radar""]"
